"component_id","component_name","folder_path","primary_category","primary_job","borrowed_by_categories","layer_type","readiness","execution_level","adapter_for","provider","priority","template_ready","production_80_20_status","build_standard_notes","depends_on","used_by","notes"
"ADP-WEBHOOK-SEND","Generic Webhook Sender","components/adapters/adp-webhook-send-generic-webhook-sender","Universal Adapter Layer","Reusable external-system connector","All categories as needed","INDEPENDENT_ADAPTER","BUILT","provider_execution","outbound_webhook_send","generic_webhook","P0","Yes","PASS_80_20_FOR_DECLARED_SCOPE","Built for declared generic outbound webhook scope; signing/auth/retry-policy variants remain future expansion.","C5-E; C6-G; C5-W","C2-I; C2-J; C2-B; C2-Q; future templates","Built in n8n as generic outbound webhook sender using HTTP Request POST. Supports headers, query parameters, JSON payload, no-auth v1, and normalized success/error outputs."
"C1-E","Multi-Step Sequence Engine","components/cat-1/c1-e-multi-step-sequence-engine","Category 1 - Outreach / Sequencing","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P3","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","N/A","N/A","README-only scaffold"
"C2-A","Parent Data Sync Router","components/cat-2/c2-a-data-sync-pipeline","Category 2 - Automation Workflows","Reusable workflow logic for Parent Data Sync Router","N/A","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C2-A1; C2-A2; C2-A3; C6-G; C5-W; C5-E","Cat 2 workflows; future templates; data sync workflows","Built in n8n as platform-agnostic parent router. Produces selected_adapter and adapter_input packages for C2-A1/C2-A2/C2-A3."
"C2-A1","Google Sheets Write Adapter","components/cat-2/c2-a1-google-sheets-write-adapter","Category 2 - Automation Workflows","Execute provider-specific adapter job for data_write","Templates; parent core components","COMPONENT_ADAPTER","BUILT","provider_execution","data_write","Google Sheets","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C2-F; C2-D","Lead Intake; Form CRM Alert; CSV CRM Import","Built write adapter for Google Sheets"
"C2-A2","Airtable Write Adapter","components/cat-2/c2-a2-airtable-write-adapter","Category 2 - Automation Workflows","Execute provider-specific adapter job for data_write","Templates; parent core components","COMPONENT_ADAPTER","BUILT","provider_execution","data_write","Airtable","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C2-F; C2-D","Lead Intake; Form CRM Alert; CSV CRM Import","Built write adapter for Airtable"
"C2-A3","HubSpot Contact Write Adapter","components/cat-2/c2-a3-hubspot-contact-write-adapter","Category 2 - Automation Workflows","Execute provider-specific adapter job for crm_write","Templates; parent core components","COMPONENT_ADAPTER","BUILT","provider_execution","crm_write","HubSpot","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C2-F; C2-D","Lead Intake; Form CRM Alert; CRM Import","Built contact write adapter for HubSpot"
"C2-B","Conditional Routing Engine","components/cat-2/c2-b-conditional-routing-engine","Category 2 - Automation Workflows","Reusable workflow logic for Conditional Routing Engine","N/A","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C2-F","Most template glues","Reusable branching and routing engine"
"C2-C","Webhook Trigger System","components/cat-2/c2-c-webhook-trigger-system","Category 2 - Automation Workflows","Reusable workflow logic for Webhook Trigger System","N/A","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","N/A","Webhook API Sync; Form CRM Alert","Webhook intake foundation"
"C2-D","Deduplication / Merge Engine","components/cat-2/c2-d-deduplication-merge-engine","Category 2 - Automation Workflows","Reusable workflow logic for Deduplication / Merge Engine","N/A","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C2-F","Lead Intake; CRM Import; Inbound Email CRM","Duplicate detection and merge preparation"
"C2-E","Form Intake Pipeline","components/cat-2/c2-e-form-intake-pipeline","Category 2 - Automation Workflows","Reusable workflow logic for Form Intake Pipeline","N/A","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","N/A","Lead Intake; Form CRM Alert; Payment Intake","Form intake normalization"
"C2-F","Payload Validation Layer","components/cat-2/c2-f-payload-validation-layer","Category 2 - Automation Workflows","Reusable workflow logic for Payload Validation Layer","N/A","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","N/A","Most template glues","Required field and schema validation"
"C2-G","File Upload Routing","components/cat-2/c2-g-file-upload-routing","Category 2 - Automation Workflows","Reusable workflow logic for File Upload Routing","N/A","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P1","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","N/A","Document Intake; Invoice Processing","File routing by extension/category"
"C2-H","Payment-on-Intake Flow","components/cat-2/c2-h-payment-on-intake-flow","Category 2 - Automation Workflows","Prepare provider-neutral handoff for Payment-on-Intake Flow","Template glue workflows; provider adapters","HANDOFF_ONLY_CORE","BUILT","handoff_only","N/A","provider_agnostic","P1","Yes with adapter caveat","PASS_HANDOFF_ONLY","Passes 80/20 standard as a handoff router; live provider execution belongs to attached adapters.","C2-F; C2-O","Payment Intake","Prepares payment provider handoffs; does not create live payment links"
"C2-I","Notification / Alert Engine","components/cat-2/c2-i-notification-alert-engine","Category 2 - Automation Workflows","Orchestrate notification decisions and prepare alert messages from upstream workflow outputs","Templates; parent core components","CORE_COMPONENT","BUILT","core_logic","notification_orchestration","provider_agnostic","P0","Yes","PASS_80_20","Passes 80/20 standard as notification orchestration. Existing C2-I1 SMTP implementation remains valid; universal provider execution belongs to ADP-SMTP-SEND, ADP-GMAIL-SEND, and future ADP-OUTLOOK-SEND.","Optional provider execution adapter such as ADP-SMTP-SEND, ADP-GMAIL-SEND, or ADP-OUTLOOK-SEND","Most template glues","C2-I decides whether/what to notify. It is not the universal SMTP adapter."
"C2-J","Digest Summary Notification Builder","components/cat-2/c2-j-digest-summary-notification-builder","Category 2 - Automation Workflows","Reusable workflow logic for Digest Summary Notification Builder","N/A","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P1","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C5-W; C6-G","Daily Digest","Builds summary/digest objects"
"C2-K","LLM in Workflow Adapter","components/cat-2/c2-k-llm-in-workflow-adapter","Category 2 - Automation Workflows","Execute provider-specific adapter job for llm_call","Templates; parent core components","COMPONENT_ADAPTER","BUILT","provider_execution","llm_call","OpenAI-compatible/Groq","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","N/A","AI processing components","Built LLM call adapter"
"C2-L","Calendar / Scheduling Automation","components/cat-2/c2-l-calendar-scheduling-automation","Category 2 - Automation Workflows","Prepare provider-neutral handoff for Calendar / Scheduling Automation","Template glue workflows; provider adapters","HANDOFF_ONLY_CORE","BUILT","handoff_only","N/A","provider_agnostic","P1","Yes with adapter caveat","PASS_HANDOFF_ONLY","Passes 80/20 standard as a handoff router; live provider execution belongs to attached adapters.","C4-L; C4-E; C2-O","Lead Intake; Appointment Booking","Prepares scheduling handoffs; live calendar adapters deferred"
"C2-M","WhatsApp Message Automation","components/cat-2/c2-m-whatsapp-message-automation","Category 2 - Automation Workflows","Prepare provider-neutral handoff for WhatsApp Message Automation","Template glue workflows; provider adapters","HANDOFF_ONLY_CORE","BUILT","handoff_only","N/A","provider_agnostic","P2","Yes with adapter caveat","PASS_HANDOFF_ONLY","Passes 80/20 standard as a handoff router; live provider execution belongs to attached adapters.","C4-M; C2-O","WhatsApp Follow-up","Prepares WhatsApp provider handoffs; live send adapters deferred"
"C2-N","CSV / Excel Parser","components/cat-2/c2-n-csv-excel-parser","Category 2 - Automation Workflows","Reusable workflow logic for CSV / Excel Parser","N/A","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","N/A","CSV CRM Import","Parses CSV/Excel records"
"C2-O","Human Approval Gate","components/cat-2/c2-o-human-approval-gate","Category 2 - Automation Workflows","Reusable workflow logic for Human Approval Gate","N/A","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C4-M","AI Email Approval; Publishing Approval; Payment Approval","Approval request creation"
"C2-O2","Approval Response Capture","components/cat-2/c2-o2-approval-response-capture","Category 2 - Automation Workflows","Reusable workflow logic for Approval Response Capture","N/A","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C2-O","Approval workflows","Approval response capture"
"C2-P","Suppression / Opt-Out Guard","components/cat-2/c2-p-suppression-opt-out-guard","Category 2 - Automation Workflows","Reusable workflow logic for Suppression / Opt-Out Guard","N/A","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C2-D","Lead Intake; Outreach Workflows","Consent and suppression guard"
"C2-Q","Publishing Adapter Family","components/cat-2/c2-q-publishing-adapter-family","Category 2 - Automation Workflows","Prepare provider-neutral handoff for Publishing Adapter Family","Template glue workflows; provider adapters","HANDOFF_ONLY_CORE","BUILT","handoff_only","N/A","provider_agnostic","P2","Yes with adapter caveat","PASS_HANDOFF_ONLY","Passes 80/20 standard as a handoff router; live provider execution belongs to attached adapters.","C4-D; C4-M; C2-O","Content Approval Publishing","Prepares publishing handoffs; live publishing adapters deferred"
"C3-D","E-Signature Flow","components/cat-3/c3-d-e-signature-flow","Category 3 - Client Onboarding / Delivery","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P3","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","N/A","N/A","README-only scaffold"
"C3-E","Document / Invoice Generation","components/cat-3/c3-e-document-invoice-generation","Category 3 - Client Onboarding / Delivery","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P1","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","N/A","Payment; Invoice workflows","README-only scaffold"
"C3-F","Delivery Tracking","components/cat-3/c3-f-delivery-tracking","Category 3 - Client Onboarding / Delivery","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P3","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","N/A","N/A","README-only scaffold"
"C3-G","Subscription Billing Engine","components/cat-3/c3-g-subscription-billing-engine","Category 3 - Client Onboarding / Delivery","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P3","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","N/A","N/A","README-only scaffold"
"C3-H","Payment to Onboarding","components/cat-3/c3-h-payment-to-onboarding","Category 3 - Client Onboarding / Delivery","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P2","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","N/A","Payment Intake; Client Onboarding","README-only scaffold"
"C3-I","Welcome Sequence","components/cat-3/c3-i-welcome-sequence","Category 3 - Client Onboarding / Delivery","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P2","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","N/A","Client Onboarding","README-only scaffold"
"C4-A","AI Classification Pipeline","components/cat-4/c4-a-ai-classification-pipeline","Category 4 - AI Workflow Systems","Reusable workflow logic for AI Classification Pipeline","Category 2; Category 3; Category 5","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C2-K","Support Ticket Triage; Lead Routing","AI classification engine"
"C4-B","AI Extraction Parser","components/cat-4/c4-b-ai-extraction-parser","Category 4 - AI Workflow Systems","Reusable workflow logic for AI Extraction Parser","Category 2; Category 3; Category 5","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C2-K","Inbound Email CRM; Document Extraction","Structured extraction from text"
"C4-C","AI Summary Generator","components/cat-4/c4-c-ai-summary-generator","Category 4 - AI Workflow Systems","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P2","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","C2-K","Daily Digest; Report Generator","README-only scaffold"
"C4-D","AI Content Generation Pipeline","components/cat-4/c4-d-ai-content-generation-pipeline","Category 4 - AI Workflow Systems","Reusable workflow logic for AI Content Generation Pipeline","Category 2; Category 3; Category 5","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P1","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C2-K","Content Approval; Social Repurposing","AI content generation"
"C4-E","AI Email Draft Generator","components/cat-4/c4-e-ai-email-draft-generator","Category 4 - AI Workflow Systems","Reusable workflow logic for AI Email Draft Generator","Category 2; Category 3; Category 5","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C2-K","Lead Follow-up; AI Email Approval","Email draft generation"
"C4-F","AI Content Repurpose Engine","components/cat-4/c4-f-ai-content-repurpose-engine","Category 4 - AI Workflow Systems","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P3","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","C2-K; C4-D","Content Repurposing","README-only scaffold"
"C4-L","Lead Qualification Pipeline","components/cat-4/c4-l-lead-qualification-pipeline","Category 4 - AI Workflow Systems","Reusable workflow logic for Lead Qualification Pipeline","Category 2; Category 3; Category 5","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C4-A; C4-B","Lead Intake Qualification","Lead scoring and qualification"
"C4-M","AI Draft Approval Pipeline","components/cat-4/c4-m-ai-draft-approval-pipeline","Category 4 - AI Workflow Systems","Reusable workflow logic for AI Draft Approval Pipeline","Category 2; Category 3; Category 5","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C4-E; C4-D","AI Email Approval; Content Approval","Packages drafts for approval"
"C4-T","OCR / Document Processing Pipeline","components/cat-4/c4-t-ocr-document-processing-pipeline","Category 4 - AI Workflow Systems","Prepare provider-neutral handoff for OCR / Document Processing Pipeline","Template glue workflows; provider adapters","HANDOFF_ONLY_CORE","BUILT","handoff_only","N/A","provider_agnostic","P1","Yes with adapter caveat","PASS_HANDOFF_ONLY","Passes 80/20 standard as a handoff router; live provider execution belongs to attached adapters.","C2-G","Document Intake; Invoice Processing","Routes text-ready/OCR/manual review document paths"
"C5-A","Basic Dashboard View","components/cat-5/c5-a-basic-dashboard-view","Category 5 - Dashboards / Status / Review","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P2","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","C5-W","Client dashboard","README-only scaffold"
"C5-B","Client Portal Table","components/cat-5/c5-b-client-portal-table","Category 5 - Dashboards / Status / Review","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P2","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","C5-W","Client portal","README-only scaffold"
"C5-C","Reporting Data Model","components/cat-5/c5-c-reporting-data-model","Category 5 - Dashboards / Status / Review","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P2","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","C5-W; C2-J","Reporting","README-only scaffold"
"C5-D","KPI Summary Builder","components/cat-5/c5-d-kpi-summary-builder","Category 5 - Dashboards / Status / Review","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P2","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","C5-W; C2-J","KPI reports","README-only scaffold"
"C5-E","Manual Review Queue","components/cat-5/c5-e-manual-review-queue","Category 5 - Dashboards / Status / Review","Reusable workflow logic for Manual Review Queue","Category 2; Category 3; Category 4; Category 6","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","C2-B; C6-G","Most review workflows","Manual review queue"
"C5-L","File Preview","components/cat-5/c5-l-file-preview","Category 5 - Dashboards / Status / Review","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P3","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","C2-G; C4-T","Document review","README-only scaffold"
"C5-T","Export Reports","components/cat-5/c5-t-export-reports","Category 5 - Dashboards / Status / Review","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P2","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","C5-C; C5-D","Reporting","README-only scaffold"
"C5-W","Automation Status Control Table","components/cat-5/c5-w-automation-status-control-table","Category 5 - Dashboards / Status / Review","Reusable workflow logic for Automation Status Control Table","Category 2; Category 3; Category 4; Category 6","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","N/A","Most templates","Status tracking"
"C5-X","KPI Monitoring / Threshold Alert Engine","components/cat-5/c5-x-kpi-monitoring-threshold-alert-engine","Category 5 - Dashboards / Status / Review","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P2","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","C5-W; C2-I","Monitoring","README-only scaffold"
"C6-A","Workflow Audit Checker","components/cat-6/c6-a-workflow-audit-checker","Category 6 - Debugging / Reliability","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P1","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","audit","Reliability layer","README-only scaffold"
"C6-B","Error Pattern Library","components/cat-6/c6-b-error-pattern-library","Category 6 - Debugging / Reliability","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P1","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","C6-G","Reliability layer","README-only scaffold"
"C6-C","API Auth Debugger","components/cat-6/c6-c-api-auth-debugger","Category 6 - Debugging / Reliability","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P1","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","OAuth Credential Test Adapter","Reliability layer","README-only scaffold"
"C6-C1","Credential API Access Test Adapter","components/cat-6/c6-c1-credential-api-access-test-adapter","Category 6 - Debugging / Reliability","Test whether a credential or API access path works before production workflow execution","Category 2; Category 3; Category 4; Category 5","COMPONENT_ADAPTER","NOT_BUILT","provider_execution","C6-C API Auth Debugger","generic_api_auth","P0","No","NOT_BUILT","Reclassified from ADP-OAUTH-TEST. Prior workflow draft failed tests and is parked under audit/deferred-scaffolds/failed-workflow-drafts. Must be rebuilt as Category 6 diagnostic adapter.","C6-C; C6-G; C5-E; C5-W","Integration debugging; credential validation; deployment checks","Diagnostic credential/API access test adapter. Not a full OAuth implementation unless future version explicitly supports OAuth token flows."
"C6-D","Data Mapping Diagnostic","components/cat-6/c6-d-data-mapping-diagnostic","Category 6 - Debugging / Reliability","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P1","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","C2-F","Reliability layer","README-only scaffold"
"C6-E","Integration Health Check","components/cat-6/c6-e-integration-health-check","Category 6 - Debugging / Reliability","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P1","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","Adapters","Reliability layer","README-only scaffold"
"C6-F","Handoff Documentation Pack","components/cat-6/c6-f-handoff-documentation-pack","Category 6 - Debugging / Reliability","Future component placeholder","N/A","SCAFFOLD_ONLY","NOT_BUILT","none","N/A","provider_agnostic","P1","No","SCAFFOLD_ONLY","README-only scaffold; not sold as built.","Templates","Client handoff","README-only scaffold"
"C6-G","Error Log / Retry Queue","components/cat-6/c6-g-error-log-retry-queue","Category 6 - Debugging / Reliability","Reusable workflow logic for Error Log / Retry Queue","Category 2; Category 3; Category 4; Category 5","CORE_COMPONENT","BUILT","core_logic","N/A","provider_agnostic","P0","Yes","PASS_80_20","Passes artifact and declared-job 80/20 standard.","N/A","Most templates","Error and retry queue"
"CFG-001","Client Profile Schema","client-config/schemas/client-profile-schema.json","Client Config Layer","Client configuration and implementation asset","All client-facing templates","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","N/A","P0","Yes","PASS_CONFIG_ASSET","Passes 80/20 standard as a configuration/documentation asset, not as an executable workflow.","N/A","All templates","Built master client profile schema with embedded AI profile and assembly preferences"
"CFG-002","Workflow Discovery Questionnaire","client-config/questionnaires/workflow-discovery-questionnaire.md","Client Config Layer","Client configuration and implementation asset","All client-facing templates","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","N/A","P0","Yes","PASS_CONFIG_ASSET","Passes 80/20 standard as a configuration/documentation asset, not as an executable workflow.","N/A","All templates","Built internal workflow discovery questionnaire for job-profile intake and Assembly Engine requirements"
"CFG-002A","Client-Facing Workflow Discovery Form","client-config/questionnaires/client-facing-workflow-discovery-form.md","Client Config Layer","Client configuration and implementation asset","All client-facing templates","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","N/A","P0","Yes","PASS_CONFIG_ASSET","Passes 80/20 standard as a configuration/documentation asset, not as an executable workflow.","CFG-002","All templates","Built simplified client-facing workflow discovery form that maps into CFG-002 structured job profile"
"CFG-003","Tool Stack Questionnaire","client-config/questionnaires/tool-stack-questionnaire.md","Client Config Layer","Client configuration and implementation asset","All client-facing templates","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","N/A","P0","Yes","PASS_CONFIG_ASSET","Passes 80/20 standard as a configuration/documentation asset, not as an executable workflow.","N/A","All templates","Built internal tool stack questionnaire for adapter selection and Assembly Engine gap scoping"
"CFG-003A","Client-Facing Tool Stack Form","client-config/questionnaires/client-facing-tool-stack-form.md","Client Config Layer","Client configuration and implementation asset","All client-facing templates","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","N/A","P0","Yes","PASS_CONFIG_ASSET","Passes 80/20 standard as a configuration/documentation asset, not as an executable workflow.","CFG-003","All templates","Built simplified client-facing tool stack form that maps into CFG-003 structured tool stack response"
